I Fought in a War;6193d28c-09e0-4621-97ae-86fd3839c3a5;track
Another Night In;0fb8b906-b63f-4aee-b779-fb7d2dd6a2ff;track
Bachelorette;1e34a0ab-f8e7-4762-a957-f17c6998d467;track
Elijah;44d5400f-f2be-4cd3-864b-f6a3d9cdd545;track
The Action Man;52ab7d6c-a9d7-46b6-945d-ec4f04bc581d;track
What I Have to Offer;77985e4d-61b3-4f73-9fed-ccfc2e57f1cd;track
Hunter;5d0f56ad-865c-4468-a391-7d29d380b4b8;track
House Of Valparaiso;9566b0f7-7cd7-472e-8342-96a2821fd55b;track
Winter Is Gone;26367252-2cfd-4aa5-a063-37affb41a1d6;track
I Don't Wanna Grow Up;436828b0-adae-465d-a822-3dfcb71ece70;track
New York;61384d25-3088-4706-a612-b87cc734acea;track
The One You Love;255cc4c9-cb75-472a-99e9-549ce9db8997;track
Know;87b03e0d-2d43-451e-80ab-ecb299405863;track
White Chalk;42029f1f-7a73-485d-965c-bd0e36338736;track
Mrs. Cold;c8e8e811-f5dd-49e6-ab50-977af3c94dd2;track
Dance Yrself Clean;a7506140-f814-4d26-ac5b-7e9c3b6d55af;track
A Sketch for Maenporth;4aa7df22-30cd-4d06-91ac-8b89b32b0785;track
If It Rains;8954568a-98f2-416d-9235-1b8b00333dd4;track
Plug In Baby;1bedf1c8-001a-40f6-bab2-d8c57816c866;track
Hard to Find;240bd611-7470-41f9-b6a4-604567dfcbee;track
Pink Rabbits;fd7a7b6e-6774-495b-a1d6-99fb7d5cbdd2;track
Humiliation;4a0e4394-fd8b-4f14-a284-599e500f7a61;track
I Need My Girl;21c30ce3-843d-4837-9fa1-4de95d638e65;track
Don't Swallow the Cap;aab3b236-abf6-4f45-b87f-bff4e376727f;track
Demons;46553869-a91a-489f-8694-b3cb8bc1e3c5;track
I Should Live in Salt;11c2f2dc-80f4-4d19-8d19-ab5195bf322f;track
Sea of Love;a1703857-b739-4bba-9842-5d1390c1cbf3;track
Fireproof;0213088d-0d72-4fff-a803-feff7f7faaf7;track
In Gratitude For This Magnificent Day;db17bc63-75d3-4c72-a18a-3bd2a8353f69;track
(A Belated) Invite To Eternity;f6c882cd-2d44-40c7-ade2-e5429ae05aa8;track
The Bigger Picture;2ac9abb9-550d-4b1d-92ea-51abd15fc111;track
Farewell Appalachia;e54bf06b-8772-4d38-89df-8a384b24c2b9;track
You Take Me As I Am;2b5e574f-d9d1-4083-bd95-0c710d0c8ba6;track
Devil's Resting Place;828329cf-b4f6-484d-9caa-5ab54ff929d6;track
Little Love Caster;f16313e8-b0b1-47eb-9e6a-2fb43c558e98;track
Breathe;c4c57efe-68da-4492-9cce-a57927f3d09f;track
You Know;3c8bb9af-1e7d-475f-9a29-7f20da3e0359;track
I Was an Eagle;23c9a94d-8225-415e-9a00-0f80094ef7f5;track
Take the Night Off;b69515dc-a1e6-420a-bd79-b60e92fb2766;track
Adieu;621a0079-e633-4cc1-8faf-067b42c51919;track
